STARTTIME,GAMMA,D_DIMENSION,P_NORM,K_SPECIES_MAX,ABUNDANCE_SPAWN,ABUNDANCE_DEATH,DEATH_RATE,ALPHA,BETA,DT_TIMESCALE,SEED,MONOD,MONOD_HALF_VELOCITY,MONOD_ALPHAMAX,MONOD_BETAMAX,save_every
1204_171343,"[0.12328467 0.12328467 0.12328467 0.12328467 0.12328467 0.12328467
 0.12328467 0.12328467 0.12328467 0.12328467]",10,1.1,500,0.01,0.001,0.1,0.05,0.01,0.1,123507,False,,,,1000
1204_171405,"[0.12328467 0.12328467 0.12328467 0.12328467 0.12328467 0.12328467
 0.12328467 0.12328467 0.12328467 0.12328467]",10,1.1,500,0.01,0.001,0.1,0.05,0.01,0.1,123508,False,,,,1000
1204_171428,"[0.12328467 0.12328467 0.12328467 0.12328467 0.12328467 0.12328467
 0.12328467 0.12328467 0.12328467 0.12328467]",10,1.1,500,0.01,0.001,0.1,0.05,0.01,0.1,123509,False,,,,1000
1204_171451,"[0.12328467 0.12328467 0.12328467 0.12328467 0.12328467 0.12328467
 0.12328467 0.12328467 0.12328467 0.12328467]",10,1.1,500,0.01,0.001,0.1,0.05,0.01,0.1,123510,False,,,,1000
1204_171513,"[0.12328467 0.12328467 0.12328467 0.12328467 0.12328467 0.12328467
 0.12328467 0.12328467 0.12328467 0.12328467]",10,1.1,500,0.01,0.001,0.1,0.05,0.01,0.1,123511,False,,,,1000
1204_171536,"[0.12328467 0.12328467 0.12328467 0.12328467 0.12328467 0.12328467
 0.12328467 0.12328467 0.12328467 0.12328467]",10,1.1,500,0.01,0.001,0.1,0.05,0.01,0.1,123512,False,,,,1000
1204_171559,"[0.12328467 0.12328467 0.12328467 0.12328467 0.12328467 0.12328467
 0.12328467 0.12328467 0.12328467 0.12328467]",10,1.1,500,0.01,0.001,0.1,0.05,0.01,0.1,123513,False,,,,1000
1204_171620,"[0.12328467 0.12328467 0.12328467 0.12328467 0.12328467 0.12328467
 0.12328467 0.12328467 0.12328467 0.12328467]",10,1.1,500,0.01,0.001,0.1,0.05,0.01,0.1,123514,False,,,,1000
1204_171643,"[0.12328467 0.12328467 0.12328467 0.12328467 0.12328467 0.12328467
 0.12328467 0.12328467 0.12328467 0.12328467]",10,1.1,500,0.01,0.001,0.1,0.05,0.01,0.1,123515,False,,,,1000
1204_171704,"[0.12328467 0.12328467 0.12328467 0.12328467 0.12328467 0.12328467
 0.12328467 0.12328467 0.12328467 0.12328467]",10,1.1,500,0.01,0.001,0.1,0.05,0.01,0.1,123516,False,,,,1000
1204_171724,"[0.12328467 0.12328467 0.12328467 0.12328467 0.12328467 0.12328467
 0.12328467 0.12328467 0.12328467 0.12328467]",10,1.1,500,0.01,0.001,0.1,0.05,0.01,0.1,123517,False,,,,1000
1204_171746,"[0.12328467 0.12328467 0.12328467 0.12328467 0.12328467 0.12328467
 0.12328467 0.12328467 0.12328467 0.12328467]",10,1.1,500,0.01,0.001,0.1,0.05,0.01,0.1,123518,False,,,,1000
1204_171808,"[0.12328467 0.12328467 0.12328467 0.12328467 0.12328467 0.12328467
 0.12328467 0.12328467 0.12328467 0.12328467]",10,1.1,500,0.01,0.001,0.1,0.05,0.01,0.1,123519,False,,,,1000
1204_171829,"[0.12328467 0.12328467 0.12328467 0.12328467 0.12328467 0.12328467
 0.12328467 0.12328467 0.12328467 0.12328467]",10,1.1,500,0.01,0.001,0.1,0.05,0.01,0.1,123520,False,,,,1000
1204_171852,"[0.12328467 0.12328467 0.12328467 0.12328467 0.12328467 0.12328467
 0.12328467 0.12328467 0.12328467 0.12328467]",10,1.1,500,0.01,0.001,0.1,0.05,0.01,0.1,123521,False,,,,1000
1204_171914,"[0.12328467 0.12328467 0.12328467 0.12328467 0.12328467 0.12328467
 0.12328467 0.12328467 0.12328467 0.12328467]",10,1.1,500,0.01,0.001,0.1,0.05,0.01,0.1,123522,False,,,,1000
1204_171937,"[0.12328467 0.12328467 0.12328467 0.12328467 0.12328467 0.12328467
 0.12328467 0.12328467 0.12328467 0.12328467]",10,1.1,500,0.01,0.001,0.1,0.05,0.01,0.1,123523,False,,,,1000
1204_172000,"[0.12328467 0.12328467 0.12328467 0.12328467 0.12328467 0.12328467
 0.12328467 0.12328467 0.12328467 0.12328467]",10,1.1,500,0.01,0.001,0.1,0.05,0.01,0.1,123524,False,,,,1000
1204_172023,"[0.12328467 0.12328467 0.12328467 0.12328467 0.12328467 0.12328467
 0.12328467 0.12328467 0.12328467 0.12328467]",10,1.1,500,0.01,0.001,0.1,0.05,0.01,0.1,123525,False,,,,1000
1204_172042,"[0.12328467 0.12328467 0.12328467 0.12328467 0.12328467 0.12328467
 0.12328467 0.12328467 0.12328467 0.12328467]",10,1.1,500,0.01,0.001,0.1,0.05,0.01,0.1,123526,False,,,,1000
1204_172105,"[0.12328467 0.12328467 0.12328467 0.12328467 0.12328467 0.12328467
 0.12328467 0.12328467 0.12328467 0.12328467]",10,1.1,500,0.01,0.001,0.1,0.05,0.01,0.1,123527,False,,,,1000
1204_172126,"[0.12328467 0.12328467 0.12328467 0.12328467 0.12328467 0.12328467
 0.12328467 0.12328467 0.12328467 0.12328467]",10,1.1,500,0.01,0.001,0.1,0.05,0.01,0.1,123528,False,,,,1000
1204_172148,"[0.12328467 0.12328467 0.12328467 0.12328467 0.12328467 0.12328467
 0.12328467 0.12328467 0.12328467 0.12328467]",10,1.1,500,0.01,0.001,0.1,0.05,0.01,0.1,123529,False,,,,1000
1204_172208,"[0.12328467 0.12328467 0.12328467 0.12328467 0.12328467 0.12328467
 0.12328467 0.12328467 0.12328467 0.12328467]",10,1.1,500,0.01,0.001,0.1,0.05,0.01,0.1,123530,False,,,,1000
1204_172228,"[0.12328467 0.12328467 0.12328467 0.12328467 0.12328467 0.12328467
 0.12328467 0.12328467 0.12328467 0.12328467]",10,1.1,500,0.01,0.001,0.1,0.05,0.01,0.1,123531,False,,,,1000
1204_172251,"[0.12328467 0.12328467 0.12328467 0.12328467 0.12328467 0.12328467
 0.12328467 0.12328467 0.12328467 0.12328467]",10,1.1,500,0.01,0.001,0.1,0.05,0.01,0.1,123532,False,,,,1000
1204_172312,"[0.12328467 0.12328467 0.12328467 0.12328467 0.12328467 0.12328467
 0.12328467 0.12328467 0.12328467 0.12328467]",10,1.1,500,0.01,0.001,0.1,0.05,0.01,0.1,123533,False,,,,1000
1204_172335,"[0.12328467 0.12328467 0.12328467 0.12328467 0.12328467 0.12328467
 0.12328467 0.12328467 0.12328467 0.12328467]",10,1.1,500,0.01,0.001,0.1,0.05,0.01,0.1,123534,False,,,,1000
1204_172358,"[0.12328467 0.12328467 0.12328467 0.12328467 0.12328467 0.12328467
 0.12328467 0.12328467 0.12328467 0.12328467]",10,1.1,500,0.01,0.001,0.1,0.05,0.01,0.1,123535,False,,,,1000
1204_172421,"[0.12328467 0.12328467 0.12328467 0.12328467 0.12328467 0.12328467
 0.12328467 0.12328467 0.12328467 0.12328467]",10,1.1,500,0.01,0.001,0.1,0.05,0.01,0.1,123536,False,,,,1000
1204_172445,"[0.12328467 0.12328467 0.12328467 0.12328467 0.12328467 0.12328467
 0.12328467 0.12328467 0.12328467 0.12328467]",10,1.1,500,0.01,0.001,0.1,0.05,0.01,0.1,123537,False,,,,1000
1204_172507,"[0.12328467 0.12328467 0.12328467 0.12328467 0.12328467 0.12328467
 0.12328467 0.12328467 0.12328467 0.12328467]",10,1.1,500,0.01,0.001,0.1,0.05,0.01,0.1,123538,False,,,,1000
1204_172528,"[0.12328467 0.12328467 0.12328467 0.12328467 0.12328467 0.12328467
 0.12328467 0.12328467 0.12328467 0.12328467]",10,1.1,500,0.01,0.001,0.1,0.05,0.01,0.1,123539,False,,,,1000
1204_172551,"[0.12328467 0.12328467 0.12328467 0.12328467 0.12328467 0.12328467
 0.12328467 0.12328467 0.12328467 0.12328467]",10,1.1,500,0.01,0.001,0.1,0.05,0.01,0.1,123540,False,,,,1000
1204_172613,"[0.12328467 0.12328467 0.12328467 0.12328467 0.12328467 0.12328467
 0.12328467 0.12328467 0.12328467 0.12328467]",10,1.1,500,0.01,0.001,0.1,0.05,0.01,0.1,123541,False,,,,1000
1204_172636,"[0.12328467 0.12328467 0.12328467 0.12328467 0.12328467 0.12328467
 0.12328467 0.12328467 0.12328467 0.12328467]",10,1.1,500,0.01,0.001,0.1,0.05,0.01,0.1,123542,False,,,,1000
1204_172659,"[0.12328467 0.12328467 0.12328467 0.12328467 0.12328467 0.12328467
 0.12328467 0.12328467 0.12328467 0.12328467]",10,1.1,500,0.01,0.001,0.1,0.05,0.01,0.1,123543,False,,,,1000
1204_172721,"[0.12328467 0.12328467 0.12328467 0.12328467 0.12328467 0.12328467
 0.12328467 0.12328467 0.12328467 0.12328467]",10,1.1,500,0.01,0.001,0.1,0.05,0.01,0.1,123544,False,,,,1000
1204_172743,"[0.12328467 0.12328467 0.12328467 0.12328467 0.12328467 0.12328467
 0.12328467 0.12328467 0.12328467 0.12328467]",10,1.1,500,0.01,0.001,0.1,0.05,0.01,0.1,123545,False,,,,1000
1204_172804,"[0.12328467 0.12328467 0.12328467 0.12328467 0.12328467 0.12328467
 0.12328467 0.12328467 0.12328467 0.12328467]",10,1.1,500,0.01,0.001,0.1,0.05,0.01,0.1,123546,False,,,,1000
1204_172824,"[0.12328467 0.12328467 0.12328467 0.12328467 0.12328467 0.12328467
 0.12328467 0.12328467 0.12328467 0.12328467]",10,1.1,500,0.01,0.001,0.1,0.05,0.01,0.1,123547,False,,,,1000
1204_172846,"[0.12328467 0.12328467 0.12328467 0.12328467 0.12328467 0.12328467
 0.12328467 0.12328467 0.12328467 0.12328467]",10,1.1,500,0.01,0.001,0.1,0.05,0.01,0.1,123548,False,,,,1000
1204_172909,"[0.12328467 0.12328467 0.12328467 0.12328467 0.12328467 0.12328467
 0.12328467 0.12328467 0.12328467 0.12328467]",10,1.1,500,0.01,0.001,0.1,0.05,0.01,0.1,123549,False,,,,1000
1204_172931,"[0.12328467 0.12328467 0.12328467 0.12328467 0.12328467 0.12328467
 0.12328467 0.12328467 0.12328467 0.12328467]",10,1.1,500,0.01,0.001,0.1,0.05,0.01,0.1,123550,False,,,,1000
1204_172952,"[0.12328467 0.12328467 0.12328467 0.12328467 0.12328467 0.12328467
 0.12328467 0.12328467 0.12328467 0.12328467]",10,1.1,500,0.01,0.001,0.1,0.05,0.01,0.1,123551,False,,,,1000
1204_173014,"[0.12328467 0.12328467 0.12328467 0.12328467 0.12328467 0.12328467
 0.12328467 0.12328467 0.12328467 0.12328467]",10,1.1,500,0.01,0.001,0.1,0.05,0.01,0.1,123552,False,,,,1000
1204_173034,"[0.12328467 0.12328467 0.12328467 0.12328467 0.12328467 0.12328467
 0.12328467 0.12328467 0.12328467 0.12328467]",10,1.1,500,0.01,0.001,0.1,0.05,0.01,0.1,123553,False,,,,1000
1204_173053,"[0.12328467 0.12328467 0.12328467 0.12328467 0.12328467 0.12328467
 0.12328467 0.12328467 0.12328467 0.12328467]",10,1.1,500,0.01,0.001,0.1,0.05,0.01,0.1,123554,False,,,,1000
1204_173112,"[0.12328467 0.12328467 0.12328467 0.12328467 0.12328467 0.12328467
 0.12328467 0.12328467 0.12328467 0.12328467]",10,1.1,500,0.01,0.001,0.1,0.05,0.01,0.1,123555,False,,,,1000
