STARTTIME,GAMMA,D_DIMENSION,P_NORM,K_SPECIES_MAX,ABUNDANCE_SPAWN,ABUNDANCE_DEATH,DEATH_RATE,ALPHA,BETA,DT_TIMESCALE,SEED,MONOD,MONOD_HALF_VELOCITY,MONOD_ALPHAMAX,MONOD_BETAMAX,save_every
1204_155131,"[0.07742637 0.07742637 0.07742637 0.07742637 0.07742637 0.07742637
 0.07742637 0.07742637 0.07742637 0.07742637]",10,0.9,500,0.01,0.001,0.1,0.05,0.01,0.1,123489,False,,,,1000
1204_155149,"[0.07742637 0.07742637 0.07742637 0.07742637 0.07742637 0.07742637
 0.07742637 0.07742637 0.07742637 0.07742637]",10,0.9,500,0.01,0.001,0.1,0.05,0.01,0.1,123490,False,,,,1000
1204_155206,"[0.07742637 0.07742637 0.07742637 0.07742637 0.07742637 0.07742637
 0.07742637 0.07742637 0.07742637 0.07742637]",10,0.9,500,0.01,0.001,0.1,0.05,0.01,0.1,123491,False,,,,1000
1204_155223,"[0.07742637 0.07742637 0.07742637 0.07742637 0.07742637 0.07742637
 0.07742637 0.07742637 0.07742637 0.07742637]",10,0.9,500,0.01,0.001,0.1,0.05,0.01,0.1,123492,False,,,,1000
1204_155242,"[0.07742637 0.07742637 0.07742637 0.07742637 0.07742637 0.07742637
 0.07742637 0.07742637 0.07742637 0.07742637]",10,0.9,500,0.01,0.001,0.1,0.05,0.01,0.1,123493,False,,,,1000
1204_155303,"[0.07742637 0.07742637 0.07742637 0.07742637 0.07742637 0.07742637
 0.07742637 0.07742637 0.07742637 0.07742637]",10,0.9,500,0.01,0.001,0.1,0.05,0.01,0.1,123494,False,,,,1000
1204_155327,"[0.07742637 0.07742637 0.07742637 0.07742637 0.07742637 0.07742637
 0.07742637 0.07742637 0.07742637 0.07742637]",10,0.9,500,0.01,0.001,0.1,0.05,0.01,0.1,123495,False,,,,1000
1204_155400,"[0.07742637 0.07742637 0.07742637 0.07742637 0.07742637 0.07742637
 0.07742637 0.07742637 0.07742637 0.07742637]",10,0.9,500,0.01,0.001,0.1,0.05,0.01,0.1,123496,False,,,,1000
1204_155429,"[0.07742637 0.07742637 0.07742637 0.07742637 0.07742637 0.07742637
 0.07742637 0.07742637 0.07742637 0.07742637]",10,0.9,500,0.01,0.001,0.1,0.05,0.01,0.1,123497,False,,,,1000
1204_155459,"[0.07742637 0.07742637 0.07742637 0.07742637 0.07742637 0.07742637
 0.07742637 0.07742637 0.07742637 0.07742637]",10,0.9,500,0.01,0.001,0.1,0.05,0.01,0.1,123498,False,,,,1000
1204_155533,"[0.07742637 0.07742637 0.07742637 0.07742637 0.07742637 0.07742637
 0.07742637 0.07742637 0.07742637 0.07742637]",10,0.9,500,0.01,0.001,0.1,0.05,0.01,0.1,123499,False,,,,1000
1204_155606,"[0.07742637 0.07742637 0.07742637 0.07742637 0.07742637 0.07742637
 0.07742637 0.07742637 0.07742637 0.07742637]",10,0.9,500,0.01,0.001,0.1,0.05,0.01,0.1,123500,False,,,,1000
1204_155633,"[0.07742637 0.07742637 0.07742637 0.07742637 0.07742637 0.07742637
 0.07742637 0.07742637 0.07742637 0.07742637]",10,0.9,500,0.01,0.001,0.1,0.05,0.01,0.1,123501,False,,,,1000
1204_155704,"[0.07742637 0.07742637 0.07742637 0.07742637 0.07742637 0.07742637
 0.07742637 0.07742637 0.07742637 0.07742637]",10,0.9,500,0.01,0.001,0.1,0.05,0.01,0.1,123502,False,,,,1000
1204_155732,"[0.07742637 0.07742637 0.07742637 0.07742637 0.07742637 0.07742637
 0.07742637 0.07742637 0.07742637 0.07742637]",10,0.9,500,0.01,0.001,0.1,0.05,0.01,0.1,123503,False,,,,1000
1204_155807,"[0.07742637 0.07742637 0.07742637 0.07742637 0.07742637 0.07742637
 0.07742637 0.07742637 0.07742637 0.07742637]",10,0.9,500,0.01,0.001,0.1,0.05,0.01,0.1,123504,False,,,,1000
1204_155838,"[0.07742637 0.07742637 0.07742637 0.07742637 0.07742637 0.07742637
 0.07742637 0.07742637 0.07742637 0.07742637]",10,0.9,500,0.01,0.001,0.1,0.05,0.01,0.1,123505,False,,,,1000
1204_155908,"[0.07742637 0.07742637 0.07742637 0.07742637 0.07742637 0.07742637
 0.07742637 0.07742637 0.07742637 0.07742637]",10,0.9,500,0.01,0.001,0.1,0.05,0.01,0.1,123506,False,,,,1000
1204_155938,"[0.07742637 0.07742637 0.07742637 0.07742637 0.07742637 0.07742637
 0.07742637 0.07742637 0.07742637 0.07742637]",10,0.9,500,0.01,0.001,0.1,0.05,0.01,0.1,123507,False,,,,1000
1204_160010,"[0.07742637 0.07742637 0.07742637 0.07742637 0.07742637 0.07742637
 0.07742637 0.07742637 0.07742637 0.07742637]",10,0.9,500,0.01,0.001,0.1,0.05,0.01,0.1,123508,False,,,,1000
1204_160041,"[0.07742637 0.07742637 0.07742637 0.07742637 0.07742637 0.07742637
 0.07742637 0.07742637 0.07742637 0.07742637]",10,0.9,500,0.01,0.001,0.1,0.05,0.01,0.1,123509,False,,,,1000
1204_160111,"[0.07742637 0.07742637 0.07742637 0.07742637 0.07742637 0.07742637
 0.07742637 0.07742637 0.07742637 0.07742637]",10,0.9,500,0.01,0.001,0.1,0.05,0.01,0.1,123510,False,,,,1000
1204_160141,"[0.07742637 0.07742637 0.07742637 0.07742637 0.07742637 0.07742637
 0.07742637 0.07742637 0.07742637 0.07742637]",10,0.9,500,0.01,0.001,0.1,0.05,0.01,0.1,123511,False,,,,1000
1204_160211,"[0.07742637 0.07742637 0.07742637 0.07742637 0.07742637 0.07742637
 0.07742637 0.07742637 0.07742637 0.07742637]",10,0.9,500,0.01,0.001,0.1,0.05,0.01,0.1,123512,False,,,,1000
1204_160242,"[0.07742637 0.07742637 0.07742637 0.07742637 0.07742637 0.07742637
 0.07742637 0.07742637 0.07742637 0.07742637]",10,0.9,500,0.01,0.001,0.1,0.05,0.01,0.1,123513,False,,,,1000
1204_160314,"[0.07742637 0.07742637 0.07742637 0.07742637 0.07742637 0.07742637
 0.07742637 0.07742637 0.07742637 0.07742637]",10,0.9,500,0.01,0.001,0.1,0.05,0.01,0.1,123514,False,,,,1000
1204_160345,"[0.07742637 0.07742637 0.07742637 0.07742637 0.07742637 0.07742637
 0.07742637 0.07742637 0.07742637 0.07742637]",10,0.9,500,0.01,0.001,0.1,0.05,0.01,0.1,123515,False,,,,1000
1204_160416,"[0.07742637 0.07742637 0.07742637 0.07742637 0.07742637 0.07742637
 0.07742637 0.07742637 0.07742637 0.07742637]",10,0.9,500,0.01,0.001,0.1,0.05,0.01,0.1,123516,False,,,,1000
1204_160447,"[0.07742637 0.07742637 0.07742637 0.07742637 0.07742637 0.07742637
 0.07742637 0.07742637 0.07742637 0.07742637]",10,0.9,500,0.01,0.001,0.1,0.05,0.01,0.1,123517,False,,,,1000
1204_160517,"[0.07742637 0.07742637 0.07742637 0.07742637 0.07742637 0.07742637
 0.07742637 0.07742637 0.07742637 0.07742637]",10,0.9,500,0.01,0.001,0.1,0.05,0.01,0.1,123518,False,,,,1000
